portofentry,Port Name,City,Flag
FTB,No PORT Code (FTB),,Not_Valid
GAC,No PORT Code (GAC),,Not_Valid
GMT,No PORT Code (GMT),,Not_Valid
JFA,No PORT Code (JFA),,Not_Valid
JMZ,No PORT Code (JMZ),,Not_Valid
NC8,No PORT Code (NC8),,Not_Valid
NYL,No PORT Code (NYL),,Not_Valid
OAI,No PORT Code (OAI),,Not_Valid
PCW,No PORT Code (PCW),,Not_Valid
WA5,No PORT Code (WAS),,Not_Valid
WTR,No PORT Code (WTR),,Not_Valid
X96,No PORT Code (X96),,Not_Valid
XNA,No PORT Code (XNA),,Not_Valid
YGF,No PORT Code (YGF),,Not_Valid
